ev,phi0,phi1p,phi2p,phi3p,phi4p,phi5p,phi6p,phi7p,phi8p
217,20,9,9,9,9,9,9,9,9
217,21,21,21,21,21,21,21,21,21
217,22,22,35,22,22,22,22,22,22
217,23,23,23,23,23,23,23,23,23
217,24,24,24,24,24,24,24,24,24
217,25,25,25,25,25,25,25,25,25
217,26,26,26,26,26,26,26,26,26
217,27,27,27,27,27,27,27,27,27
217,28,34,34,34,34,34,34,34,34
217,29,29,29,28,29,29,29,29,29
217,30,30,30,30,30,30,30,30,30
217,31,31,31,31,31,31,31,31,31
217,32,32,32,32,32,32,32,32,32
217,33,33,33,33,33,33,33,33,33
217,34,28,28,29,28,28,28,28,28
217,35,35,22,35,35,35,35,35,35
217,36,36,36,36,36,36,36,36,36
217,37,37,37,37,37,37,37,37,37
218,0,0,0,0,0,0,0,0,0
218,1,1,1,1,1,1,1,1,1
218,2,2,2,2,2,2,2,2,2
218,3,28,3,3,3,3,3,3,3
218,4,4,4,4,4,4,4,4,4
218,5,5,5,5,5,5,5,5,5
218,6,6,6,6,6,6,6,6,6
218,7,7,7,7,7,7,7,7,7
218,8,8,8,8,8,8,8,8,8
218,9,9,9,9,9,9,9,9,9
218,10,10,10,10,10,10,10,10,10
218,11,11,11,11,11,11,11,11,11
218,12,12,12,12,12,12,12,12,12
218,13,13,13,13,13,13,13,13,13
218,14,14,14,14,14,14,14,14,14
218,15,15,15,15,15,15,15,15,15
218,16,16,16,16,16,16,16,16,16
218,17,17,17,17,17,17,17,17,17
218,18,18,18,18,18,18,18,18,18
218,19,19,19,19,19,19,19,19,19
218,20,20,20,20,20,20,20,20,20
218,21,21,21,21,21,21,21,21,21
218,22,22,22,22,22,22,22,22,22
218,23,23,23,23,23,23,23,23,23
218,24,24,24,24,24,24,24,24,24
218,25,25,25,25,25,25,25,25,25
218,26,26,26,26,26,26,26,26,26
218,27,27,27,27,27,27,27,27,27
218,28,3,28,28,28,28,28,28,28
218,29,29,29,29,29,29,29,29,29
218,30,30,30,30,30,30,30,30,30
218,31,31,31,31,31,31,31,31,31
218,32,32,32,32,32,32,32,32,32
218,33,33,33,33,33,33,33,33,33
218,34,34,34,34,34,34,34,34,34
218,35,35,35,35,35,35,35,35,35
218,36,36,36,36,36,36,36,36,36
218,37,37,37,37,37,37,37,37,37
218,38,38,38,38,38,38,38,38,38
219,0,0,0,0,0,0,0,0,0
219,1,1,1,1,1,1,1,1,1
219,2,2,3,2,2,2,2,2,2
219,3,3,2,3,3,3,3,3,3
219,4,4,4,4,4,4,4,4,4
219,5,5,5,5,5,5,5,5,5
219,6,6,6,6,6,6,6,6,6
219,7,7,7,7,7,7,7,7,7
219,8,8,8,8,8,8,8,8,8
219,9,9,9,9,9,9,9,9,9
219,10,10,10,10,10,10,10,10,10
219,11,11,11,11,11,11,11,11,11
219,12,12,12,12,12,12,12,12,12
219,13,13,13,13,13,13,13,13,13
219,14,14,14,14,14,14,14,14,14
219,15,15,15,15,15,15,15,15,15
219,16,16,16,16,16,16,16,16,16
219,17,17,17,17,17,17,17,17,17
219,18,18,18,18,18,18,18,18,18
219,19,19,19,19,19,19,19,19,19
219,20,20,20,20,20,20,20,20,20
219,21,21,21,21,21,21,21,21,21
219,22,23,23,23,23,23,23,23,23
219,23,22,22,22,22,22,22,22,22
219,24,24,24,24,24,24,24,24,24
219,25,25,25,25,25,25,25,25,25
219,26,26,26,26,26,26,26,26,26
219,27,27,27,27,27,27,27,27,27
219,28,28,28,28,28,28,28,28,28
219,29,29,29,29,29,29,29,29,29
219,30,30,30,30,30,30,30,30,30
219,31,31,31,31,31,31,31,31,31
219,32,32,32,32,32,32,32,32,32
219,33,33,33,33,33,33,33,33,33
219,34,34,34,34,34,34,34,34,34
219,35,35,35,35,35,35,35,35,35
219,36,36,36,36,36,36,36,36,36
219,37,37,37,37,37,37,37,37,37
219,38,38,38,38,38,38,38,38,38
219,39,39,39,39,39,39,39,39,39
220,0,0,0,0,0,0,0,0,0
220,1,1,1,1,1,1,1,1,1
220,2,29,29,29,29,29,29,29,29
220,3,3,3,3,3,3,3,3,3
220,4,4,4,4,4,4,4,4,4
220,5,5,5,5,5,5,5,5,5
220,6,6,6,6,6,6,6,6,6
220,7,7,7,7,7,7,7,7,7
220,8,8,8,8,8,8,8,8,8
220,9,9,9,9,9,9,9,9,9
220,10,10,10,10,10,10,10,10,10
220,11,11,11,11,11,11,11,11,11
220,12,12,12,12,12,12,12,12,12
220,13,13,13,13,13,13,13,13,13
220,14,14,14,14,14,14,14,14,14
220,15,15,15,15,15,15,15,15,15
220,16,16,16,16,16,16,16,16,16
220,17,17,17,17,17,17,17,17,17
220,18,18,18,18,18,18,18,18,18
220,19,19,19,19,19,19,19,19,19
220,20,20,20,20,20,20,20,20,20
220,21,21,21,21,21,21,21,21,21
220,22,22,22,22,22,22,22,22,22
220,23,23,35,23,23,23,23,23,23
220,24,25,25,25,25,25,25,25,25
220,25,24,24,24,24,24,24,24,24
220,26,26,26,26,26,26,26,26,26
220,27,27,27,27,27,27,27,27,27
220,28,28,28,28,28,28,28,28,28
220,29,38,2,2,2,2,2,2,2
220,30,30,30,30,30,30,30,30,30
220,31,31,31,31,31,31,31,31,31
220,32,32,32,32,32,32,32,32,32
220,33,33,33,33,33,33,33,33,33
220,34,34,34,34,34,34,34,34,34
220,35,35,23,35,35,35,35,35,35
220,36,37,37,37,37,37,37,37,37
220,37,36,36,36,36,36,36,36,36
220,38,2,38,38,38,38,38,38,38
220,39,39,39,39,39,39,39,39,39
221,0,0,0,0,0,0,0,0,0
221,1,1,1,1,1,1,1,1,1
221,2,2,2,2,2,2,2,2,2
221,3,3,3,3,3,3,3,3,3
221,4,4,4,4,4,4,4,4,4
221,5,5,15,15,15,15,15,15,15
221,6,6,6,6,6,6,6,6,6
221,7,7,7,7,7,7,7,7,7
221,8,8,8,8,8,8,8,8,8
221,9,9,9,9,9,9,9,9,9
221,10,10,10,10,10,10,10,10,10
221,11,11,11,11,11,11,11,11,11
221,12,19,12,12,12,12,12,12,12
221,13,13,13,13,13,13,13,13,13
221,14,14,14,14,14,14,14,14,14
221,15,15,5,5,5,5,5,5,5
221,16,16,16,16,16,16,16,16,16
221,17,17,17,17,17,17,17,17,17
221,18,18,18,18,18,18,18,18,18
221,19,12,19,19,19,19,19,19,19
221,20,20,20,20,20,20,20,20,20
221,21,21,41,21,21,21,21,21,21
221,22,22,22,22,22,22,22,22,22
221,23,23,23,23,23,23,23,23,23
221,24,24,24,24,24,24,24,24,24
221,25,25,25,25,25,25,25,25,25
221,26,26,26,26,26,26,26,26,26
221,27,30,30,30,30,30,30,30,30
221,28,28,28,28,28,28,28,28,28
221,29,29,29,29,29,29,29,29,29
221,30,27,27,27,27,27,27,27,27
221,31,31,31,31,31,31,31,31,31
221,32,32,32,32,32,32,32,32,32
221,33,33,33,33,33,33,33,33,33
221,34,34,34,34,34,34,34,34,34
221,35,35,35,35,35,35,35,35,35
221,36,36,36,36,36,36,36,36,36
221,37,37,37,37,37,37,37,37,37
221,38,38,38,38,38,38,38,38,38
221,39,39,39,39,39,39,39,39,39
221,40,40,40,40,40,40,40,40,40
221,41,41,21,41,41,41,41,41,41
222,0,0,0,0,0,0,0,0,0
222,1,1,1,1,1,1,1,1,1
222,2,2,2,2,2,2,2,2,2
222,3,3,3,3,3,3,3,3,3
222,4,4,4,4,4,4,4,4,4
222,5,5,5,5,5,5,5,5,5
222,6,6,6,6,6,6,6,6,6
222,7,7,7,7,7,7,7,7,7
222,8,8,8,8,8,8,8,8,8
222,9,9,9,9,9,9,9,9,9
222,10,10,10,10,10,10,10,10,10
222,11,11,11,11,11,11,11,11,11
222,12,12,12,12,12,12,12,12,12
222,13,13,13,13,13,13,13,13,13
222,14,14,14,14,14,14,14,14,14
222,15,15,15,15,15,15,15,15,15
222,16,16,16,16,16,16,16,16,16
222,17,17,17,17,17,17,17,17,17
222,18,18,18,18,18,18,18,18,18
222,19,19,19,19,19,19,19,19,19
222,20,20,20,20,20,20,20,20,20
222,21,21,21,21,21,21,21,21,21
222,22,22,22,22,22,22,22,22,22
222,23,23,23,23,23,23,23,23,23
222,24,24,24,24,24,24,24,24,24
222,25,25,25,25,25,25,25,25,25
222,26,26,26,26,26,26,26,26,26
222,27,27,27,27,27,27,27,27,27
222,28,28,28,28,28,28,28,28,28
222,29,29,29,29,29,29,29,29,29
222,30,30,30,30,30,30,30,30,30
222,31,31,31,31,31,31,31,31,31
222,32,32,32,32,32,32,32,32,32
222,33,33,33,33,33,33,33,33,33
222,34,34,34,34,34,34,34,34,34
222,35,35,35,35,35,35,35,35,35
222,36,36,36,36,36,36,36,36,36
223,0,0,0,0,0,0,0,0,0
223,1,1,1,1,1,1,1,1,1
223,2,2,2,2,2,2,2,2,2
223,3,3,3,3,3,3,3,3,3
223,4,4,4,4,4,4,4,4,4
223,5,5,5,5,5,5,5,5,5
223,6,6,6,6,6,6,6,6,6
223,7,7,7,7,7,7,7,7,7
223,8,8,8,8,8,8,8,8,8
223,9,9,9,9,9,9,9,9,9
223,10,10,10,10,10,10,10,10,10
223,11,11,11,11,11,11,11,11,11
223,12,12,12,12,12,12,12,12,12
223,13,13,13,13,13,13,13,13,13
223,14,14,14,14,14,14,14,14,14
223,15,15,15,15,15,15,15,15,15
223,16,16,16,16,16,16,16,16,16
223,17,17,17,17,17,17,17,17,17
223,18,18,18,18,18,18,18,18,18
223,19,19,19,19,19,19,19,19,19
223,20,20,20,20,20,20,20,20,20
223,21,21,21,21,21,21,21,21,21
223,22,22,22,22,22,22,22,22,22
223,23,23,23,23,23,23,23,23,23
223,24,24,24,24,24,24,24,24,24
223,25,25,25,25,25,25,25,25,25
223,26,26,26,26,26,26,26,26,26
223,27,27,27,27,27,27,27,27,27
223,28,28,28,28,28,28,28,28,28
223,29,29,29,29,29,29,29,29,29
224,0,0,0,0,0,0,0,0,0
224,1,1,1,1,1,1,1,1,1
224,2,15,15,15,15,15,15,15,15
224,3,3,3,3,3,3,3,3,3
224,4,4,4,4,4,4,4,4,4
224,5,5,5,5,5,5,5,5,5
224,6,6,6,6,6,6,6,6,6
224,7,7,7,7,7,7,7,7,7
224,8,8,8,8,8,8,8,8,8
224,9,9,9,9,9,9,9,9,9
224,10,10,10,10,10,10,10,10,10
224,11,11,11,11,11,11,11,11,11
224,12,12,12,12,12,12,12,12,12
224,13,13,13,13,13,13,13,13,13
224,14,14,14,14,14,14,14,14,14
224,15,2,2,2,2,2,2,2,2
224,16,16,16,16,16,16,16,16,16
224,17,17,17,17,17,17,17,17,17
224,18,18,18,18,18,18,18,18,18
224,19,19,19,19,19,19,19,19,19
224,20,20,20,20,20,20,20,20,20
224,21,21,21,21,21,21,21,21,21
224,22,22,22,22,22,22,22,22,22
224,23,23,23,23,23,23,23,23,23
224,24,24,24,24,24,24,24,24,24
224,25,25,25,25,25,25,25,25,25
224,26,26,26,26,26,26,26,26,26
224,27,27,27,27,27,27,27,27,27
224,28,28,28,28,28,28,28,28,28
224,29,29,29,29,29,29,29,29,29
224,30,30,30,30,30,30,30,30,30
224,31,31,31,31,31,31,31,31,31
224,32,32,32,32,32,32,32,32,32
224,33,33,33,33,33,33,33,33,33
224,34,34,34,34,34,34,34,34,34
225,0,0,0,0,0,0,0,0,0
225,1,23,23,23,23,23,23,23,23
225,2,2,2,2,2,2,2,2,2
225,3,3,3,3,3,3,3,3,3
225,4,4,4,4,4,4,4,4,4
225,5,5,5,5,5,5,5,5,5
225,6,6,6,6,6,6,6,6,6
225,7,7,7,7,7,7,7,7,7
225,8,8,8,8,8,8,8,8,8
225,9,9,9,9,9,9,9,9,9
225,10,10,10,10,10,10,10,10,10
225,11,11,11,11,11,11,11,11,11
225,12,12,12,12,12,12,12,12,12
225,13,13,13,13,13,13,13,13,13
225,14,14,14,14,14,14,14,14,14
225,15,15,15,15,15,15,15,15,15
225,16,16,16,16,16,16,16,16,16
225,17,17,17,17,17,17,17,17,17
225,18,18,18,18,18,18,18,18,18
225,19,19,19,19,19,19,19,19,19
225,20,20,20,20,20,20,20,20,20
225,21,21,21,21,21,21,21,21,21
225,22,22,22,22,22,22,22,22,22
225,23,1,1,1,1,1,1,1,1
225,24,24,24,24,24,24,24,24,24
225,25,25,25,25,25,25,25,25,25
225,26,26,26,26,26,26,26,26,26
225,27,27,27,27,27,27,27,27,27
225,28,28,28,28,28,28,28,28,28
225,29,29,29,29,29,29,29,29,29
225,30,30,30,30,30,30,30,30,30
226,0,0,0,0,0,0,0,0,0
226,1,1,1,1,1,1,1,1,1
226,2,2,2,2,2,2,2,2,2
226,3,3,3,3,3,3,3,3,3
226,4,4,4,4,4,4,4,4,4
226,5,5,5,5,5,5,5,5,5
226,6,6,6,6,6,6,6,6,6
226,7,7,7,7,7,7,7,7,7
226,8,8,8,8,8,8,8,8,8
226,9,9,9,9,9,9,9,9,9
226,10,10,10,10,10,10,10,10,10
226,11,11,11,11,11,11,11,11,11
226,12,12,12,12,12,12,12,12,12
226,13,13,13,13,13,13,13,13,13
226,14,14,14,14,14,14,14,14,14
226,15,15,15,15,15,15,15,15,15
226,16,16,16,16,16,16,16,16,16
226,17,17,17,17,17,17,17,17,17
226,18,18,18,18,18,18,18,18,18
226,19,38,19,19,19,19,19,19,19
226,20,20,20,20,20,20,20,20,20
226,21,21,21,21,21,21,21,21,21
226,22,22,22,22,22,22,22,22,22
226,23,23,23,23,23,23,23,23,23
226,24,24,24,24,24,24,24,24,24
226,25,25,25,25,25,25,25,25,25
226,26,26,26,26,26,26,26,26,26
226,27,27,27,27,27,27,27,27,27
226,28,28,28,28,28,28,28,28,28
226,29,29,29,29,29,29,29,29,29
226,30,30,30,30,30,30,30,30,30
226,31,31,31,31,31,31,31,31,31
226,32,32,32,32,32,32,32,32,32
226,33,33,33,33,33,33,33,33,33
226,34,34,34,34,34,34,34,34,34
226,35,35,35,35,35,35,35,35,35
226,36,36,36,36,36,36,36,36,36
226,37,37,37,37,37,37,37,37,37
226,38,19,38,38,38,38,38,38,38
227,0,0,0,0,0,0,0,0,0
227,1,1,1,1,1,1,1,1,1
227,2,2,2,2,2,2,2,2,2
227,3,3,3,3,3,3,3,3,3
227,4,4,31,31,31,31,31,31,31
227,5,5,5,5,5,5,5,5,5
227,6,6,6,6,6,6,6,6,6
227,7,7,7,7,7,7,7,7,7
227,8,8,8,8,8,8,8,8,8
227,9,9,9,9,9,9,9,9,9
227,10,10,10,10,10,10,10,10,10
227,11,11,11,11,11,11,11,11,11
227,12,12,12,12,12,12,12,12,12
227,13,13,13,13,13,13,13,13,13
227,14,14,14,14,14,14,14,14,14
227,15,15,15,15,15,15,15,15,15
227,16,16,16,16,16,16,16,16,16
227,17,17,17,17,17,17,17,17,17
227,18,18,18,18,18,18,18,18,18
227,19,19,19,19,19,19,19,19,19
227,20,20,20,20,20,20,20,20,20
227,21,21,21,21,21,21,21,21,21
227,22,22,22,22,22,22,22,22,22
227,23,23,23,23,23,23,23,23,23
227,24,24,24,24,24,24,24,24,24
227,25,25,25,25,25,25,25,25,25
227,26,26,26,26,26,26,26,26,26
227,27,27,27,27,27,27,27,27,27
227,28,28,28,28,28,28,28,28,28
227,29,29,29,29,29,29,29,29,29
227,30,30,30,30,30,30,30,30,30
227,31,31,4,4,4,4,4,4,4
227,32,32,32,32,32,32,32,32,32
227,33,33,33,33,33,33,33,33,33
227,34,34,34,34,34,34,34,34,34
227,35,35,35,35,35,35,35,35,35
227,36,36,36,36,36,36,36,36,36
227,37,37,37,37,37,37,37,37,37
227,38,38,38,38,38,38,38,38,38
228,0,0,0,0,0,0,0,0,0
228,1,1,1,1,1,1,1,1,1
228,2,2,2,2,2,2,2,2,2
228,3,3,3,3,3,3,3,3,3
228,4,4,4,4,4,4,4,4,4
228,5,5,5,5,5,5,5,5,5
228,6,6,6,6,6,6,6,6,6
228,7,7,7,7,7,7,7,7,7
228,8,8,8,8,8,8,8,8,8
228,9,9,9,9,9,9,9,9,9
228,10,10,10,10,10,10,10,10,10
228,11,11,11,11,11,11,11,11,11
228,12,12,12,12,12,12,12,12,12
228,13,13,13,13,13,13,13,13,13
228,14,14,14,14,14,14,14,14,14
228,15,15,15,15,15,15,15,15,15
228,16,16,16,16,16,16,16,16,16
228,17,17,17,17,17,17,17,17,17
228,18,18,18,18,18,18,18,18,18
228,19,19,19,19,19,19,19,19,19
228,20,20,20,20,20,20,20,20,20
228,21,21,21,21,21,21,21,21,21
228,22,22,22,22,22,22,22,22,22
228,23,23,23,23,23,23,23,23,23
228,24,24,24,24,24,24,24,24,24
228,25,25,25,25,25,25,25,25,25
228,26,26,26,26,26,26,26,26,26
228,27,27,27,27,27,27,27,27,27
228,28,28,28,28,28,28,28,28,28
228,29,29,29,29,29,29,29,29,29
228,30,30,30,30,30,30,30,30,30
228,31,31,31,31,31,31,31,31,31
228,32,32,32,32,32,32,32,32,32
228,33,33,33,33,33,33,33,33,33
228,34,34,34,34,34,34,34,34,34
228,35,35,35,35,35,35,35,35,35
228,36,36,36,36,36,36,36,36,36
228,37,37,37,37,37,37,37,37,37
228,38,38,38,38,38,38,38,38,38
229,0,0,0,0,0,0,0,0,0
229,1,1,1,1,1,1,1,1,1
229,2,2,2,2,2,2,2,2,2
229,3,3,3,3,3,3,3,3,3
229,4,4,4,4,4,4,4,4,4
229,5,5,5,5,5,5,5,5,5
229,6,6,6,6,6,6,6,6,6
229,7,7,7,7,7,7,7,7,7
229,8,8,8,8,8,8,8,8,8
229,9,9,9,9,9,9,9,9,9
229,10,10,10,10,10,10,10,10,10
229,11,11,11,11,11,11,11,11,11
229,12,12,12,12,12,12,12,12,12
229,13,13,13,13,13,13,13,13,13
229,14,14,14,14,14,14,14,14,14
229,15,15,15,15,15,15,15,15,15
229,16,16,16,16,16,16,16,16,16
229,17,17,17,17,17,17,17,17,17
229,18,18,18,18,18,18,18,18,18
229,19,19,19,19,19,19,19,19,19
229,20,20,20,20,20,20,20,20,20
229,21,21,21,21,21,21,21,21,21
229,22,22,30,22,22,22,22,22,22
229,23,23,23,23,23,23,23,23,23
229,24,24,24,24,24,24,24,24,24
229,25,25,25,25,25,25,25,25,25
229,26,26,26,26,26,26,26,26,26
229,27,27,27,27,27,27,27,27,27
229,28,28,28,28,28,28,28,28,28
229,29,29,29,29,29,29,29,29,29
229,30,30,22,30,30,30,30,30,30
229,31,31,31,31,31,31,31,31,31
229,32,32,32,32,32,32,32,32,32
229,33,33,33,33,33,33,33,33,33
229,34,34,34,34,34,34,34,34,34
229,35,35,35,35,35,35,35,35,35
229,36,36,36,36,36,36,36,36,36
229,37,37,37,37,37,37,37,37,37
229,38,38,38,38,38,38,38,38,38
229,39,39,39,39,39,39,39,39,39
229,40,40,40,40,40,40,40,40,40
230,0,0,0,0,0,0,0,0,0
230,1,1,1,1,1,1,1,1,1
230,2,2,2,2,2,2,2,2,2
230,3,10,10,10,10,10,10,10,10
230,4,4,4,4,4,4,4,4,4
230,5,5,5,5,5,5,5,5,5
230,6,6,6,6,6,6,6,6,6
230,7,7,7,7,7,7,7,7,7
230,8,8,8,8,8,8,8,8,8
230,9,9,9,9,9,9,9,9,9
230,10,3,3,3,3,3,3,3,3
230,11,11,11,11,11,11,11,11,11
230,12,12,12,12,12,12,12,12,12
230,13,13,13,13,13,13,13,13,13
230,14,14,14,14,14,14,14,14,14
230,15,15,15,15,15,15,15,15,15
230,16,16,16,16,16,16,16,16,16
230,17,17,17,17,17,17,17,17,17
230,18,18,18,18,18,18,18,18,18
230,19,19,19,19,19,19,19,19,19
230,20,20,20,20,20,20,20,20,20
230,21,21,21,21,21,21,21,21,21
230,22,22,22,22,22,22,22,22,22
230,23,23,23,23,23,23,23,23,23
230,24,24,24,24,24,24,24,24,24
230,25,25,25,25,25,25,25,25,25
230,26,26,26,26,26,26,26,26,26
230,27,27,27,27,27,27,27,27,27
230,28,28,28,28,28,28,28,28,28
230,29,29,29,29,29,29,29,29,29
230,30,30,30,30,30,30,30,30,30
230,31,31,31,31,31,31,31,31,31
230,32,32,34,34,34,34,34,34,34
230,33,33,33,33,33,33,33,33,33
230,34,34,32,32,32,32,32,32,32
231,0,0,0,0,0,0,0,0,0
231,1,1,1,1,1,1,1,1,1
231,2,2,2,2,2,2,2,2,2
231,3,3,3,3,3,3,3,3,3
231,4,4,4,4,4,4,4,4,4
231,5,5,5,5,5,5,5,5,5
231,6,6,6,6,6,6,6,6,6
231,7,7,7,7,7,7,7,7,7
231,8,8,8,8,8,8,8,8,8
231,9,9,13,9,9,9,9,9,9
231,10,10,10,10,10,10,10,10,10
231,11,11,11,11,11,11,11,11,11
231,12,12,12,12,12,12,12,12,12
231,13,13,9,13,13,13,13,13,13
231,14,14,14,14,14,14,14,14,14
231,15,15,15,15,15,15,15,15,15
231,16,16,16,16,16,16,16,16,16
231,17,17,17,17,17,17,17,17,17
231,18,18,18,18,18,18,18,18,18
231,19,19,19,19,19,19,19,19,19
231,20,20,20,20,20,20,20,20,20
231,21,21,21,21,21,21,21,21,21
231,22,22,22,22,22,22,22,22,22
231,23,23,23,23,23,23,23,23,23
231,24,24,24,24,24,24,24,24,24
231,25,25,25,25,25,25,25,25,25
231,26,26,26,26,26,26,26,26,26
231,27,27,27,27,27,27,27,27,27
231,28,28,28,28,28,28,28,28,28
231,29,29,29,29,29,29,29,29,29
231,30,30,30,30,30,30,30,30,30
231,31,31,31,31,31,31,31,31,31
231,32,32,32,32,32,32,32,32,32
231,33,33,33,33,33,33,33,33,33
231,34,34,34,34,34,34,34,34,34
231,35,35,35,35,35,35,35,35,35
231,36,36,36,36,36,36,36,36,36
231,37,37,37,37,37,37,37,37,37
231,38,38,38,38,38,38,38,38,38
231,39,39,39,39,39,39,39,39,39
231,40,40,40,40,40,40,40,40,40
232,0,0,0,0,0,0,0,0,0
232,1,1,1,1,1,1,1,1,1
232,2,2,2,2,2,2,2,2,2
232,3,3,3,3,3,3,3,3,3
232,4,4,4,4,4,4,4,4,4
232,5,5,5,5,5,5,5,5,5
232,6,15,6,6,6,6,6,6,6
232,7,7,7,7,7,7,7,7,7
232,8,11,11,11,11,11,11,11,11
232,9,9,9,9,9,9,9,9,9
232,10,10,10,10,10,10,10,10,10
232,11,8,8,8,8,8,8,8,8
232,12,12,12,12,12,12,12,12,12
232,13,13,13,13,13,13,13,13,13
232,14,14,14,14,14,14,14,14,14
232,15,6,15,15,15,15,15,15,15
232,16,17,17,17,17,17,17,17,17
232,17,16,16,16,16,16,16,16,16
232,18,18,18,18,18,18,18,18,18
232,19,19,19,19,19,19,19,19,19
232,20,20,20,20,20,20,20,20,20
232,21,21,21,21,21,21,21,21,21
232,22,22,22,22,22,22,22,22,22
232,23,23,23,23,23,23,23,23,23
232,24,24,24,24,24,24,24,24,24
232,25,25,25,25,25,25,25,25,25
232,26,26,26,26,26,26,26,26,26
232,27,27,27,27,27,27,27,27,27
232,28,28,28,28,28,28,28,28,28
232,29,29,29,29,29,29,29,29,29
232,30,30,30,30,30,30,30,30,30
233,0,0,0,0,0,0,0,0,0
233,1,1,1,1,1,1,1,1,1
233,2,2,2,2,2,2,2,2,2
233,3,3,3,3,3,3,3,3,3
233,4,4,4,4,4,4,4,4,4
233,5,5,5,5,5,5,5,5,5
233,6,6,6,6,6,6,6,6,6
233,7,7,7,7,7,7,7,7,7
233,8,8,8,8,8,8,8,8,8
233,9,9,9,9,9,9,9,9,9
233,10,10,10,10,10,10,10,10,10
233,11,11,11,11,15,11,11,11,11
233,12,12,12,12,12,12,12,12,12
233,13,13,13,13,13,13,13,13,13
233,14,14,14,14,14,14,14,14,14
233,15,15,21,15,11,15,15,15,15
233,16,16,16,16,16,16,16,16,16
233,17,17,17,17,17,17,17,17,17
233,18,18,18,18,18,18,18,18,18
233,19,19,26,19,19,19,19,19,19
233,20,20,20,20,20,20,20,20,20
233,21,21,15,21,21,21,21,21,21
233,22,22,22,22,22,22,22,22,22
233,23,23,23,23,23,23,23,23,23
233,24,24,24,24,24,24,24,24,24
233,25,25,25,25,25,25,25,25,25
233,26,26,19,26,26,26,26,26,26
233,27,27,27,27,27,27,27,27,27
233,28,28,28,28,28,28,28,28,28
233,29,29,29,29,29,29,29,29,29
233,30,30,30,30,30,30,30,30,30
233,31,31,31,31,31,31,31,31,31
233,32,32,32,32,32,32,32,32,32
233,33,33,33,33,33,33,33,33,33
233,34,34,34,34,34,34,34,34,34
233,35,35,35,35,35,35,35,35,35
233,36,36,36,36,36,36,36,36,36
233,37,37,37,37,37,37,37,37,37
233,38,38,38,38,38,38,38,38,38
233,39,39,39,39,39,39,39,39,39
233,40,40,40,40,40,40,40,40,40
234,0,0,0,0,0,0,0,0,0
234,1,1,1,1,1,1,1,1,1
234,2,2,2,2,2,2,2,2,2
234,3,3,3,3,3,3,3,3,3
234,4,4,4,4,4,4,4,4,4
234,5,5,5,5,5,5,5,5,5
234,6,6,6,6,6,6,6,6,6
234,7,7,7,7,7,7,7,7,7
234,8,8,8,8,8,8,8,8,8
234,9,9,9,9,9,9,9,9,9
234,10,10,10,10,10,10,10,10,10
234,11,11,11,11,11,11,11,11,11
234,12,12,12,12,12,12,12,12,12
234,13,13,13,13,13,13,13,13,13
234,14,14,14,14,14,14,14,14,14
234,15,15,15,15,15,15,15,15,15
234,16,16,16,16,16,16,16,16,16
234,17,17,17,17,17,17,17,17,17
234,18,18,18,18,18,18,18,18,18
234,19,19,19,19,19,19,19,19,19
234,20,20,20,20,20,20,20,20,20
234,21,21,21,21,21,21,21,21,21
234,22,22,22,22,22,22,22,22,22
234,23,23,23,23,23,23,23,23,23
234,24,24,24,24,24,24,24,24,24
234,25,25,25,25,25,25,25,25,25
234,26,26,26,26,26,26,26,26,26
234,27,27,27,27,27,27,27,27,27
234,28,28,28,28,28,28,28,28,28
234,29,29,29,29,29,29,29,29,29
234,30,30,30,30,30,30,30,30,30
234,31,31,31,31,31,31,31,31,31
234,32,32,32,32,32,32,32,32,32
234,33,33,33,33,33,33,33,33,33
234,34,34,34,34,34,34,34,34,34
234,35,35,35,35,35,35,35,35,35
234,36,36,36,36,36,36,36,36,36
234,37,37,37,37,37,37,37,37,37
234,38,38,38,38,38,38,38,38,38
235,0,0,0,0,0,0,0,0,0
235,1,1,1,1,1,26,1,1,1
235,2,2,2,2,2,2,2,2,2
235,3,3,3,3,3,3,3,3,3
235,4,4,4,4,4,4,4,4,4
235,5,5,5,5,5,5,5,5,5
235,6,6,6,6,6,6,6,6,6
235,7,7,7,7,7,7,7,7,7
235,8,8,8,8,8,8,8,8,8
235,9,9,9,9,9,9,9,9,9
235,10,10,10,10,10,10,10,10,10
235,11,11,11,11,11,11,11,11,11
235,12,12,12,12,12,12,12,12,12
235,13,13,13,13,13,13,13,13,13
235,14,14,14,14,14,14,14,14,14
235,15,15,15,15,15,15,15,15,15
235,16,16,16,16,16,16,16,16,16
235,17,17,17,17,17,17,17,17,17
235,18,18,18,18,18,18,18,18,18
235,19,19,19,19,19,19,19,19,19
235,20,20,20,20,20,20,20,20,20
235,21,21,21,21,21,21,21,21,21
235,22,22,22,22,22,22,22,22,22
235,23,23,23,23,23,23,23,23,23
235,24,24,24,24,24,24,24,24,24
235,25,25,25,25,25,25,25,25,25
235,26,26,26,26,26,1,26,26,26
235,27,27,27,27,27,27,27,27,27
235,28,28,28,28,28,28,28,28,28
235,29,29,29,29,29,29,29,29,29
235,30,30,30,30,30,30,30,30,30
235,31,31,31,31,31,31,31,31,31
235,32,32,32,32,32,32,32,32,32
235,33,33,33,33,33,33,33,33,33
236,0,0,0,0,0,0,0,0,0
236,1,1,1,1,1,1,1,1,1
236,2,2,24,2,2,2,2,2,2
236,3,3,3,3,3,3,3,3,3
236,4,4,4,4,4,4,4,4,4
236,5,5,5,5,5,5,5,5,5
